#z x_HI x_HeI x_HeII [all fractions are volume weighted]
16.1067 9.9998e-01 7.8946e-02 3.8246e-07
16.0368 9.9998e-01 7.8946e-02 4.0601e-07
16.0194 9.9998e-01 7.8946e-02 4.0908e-07
16.0020 9.9998e-01 7.8946e-02 4.1182e-07
15.9672 9.9998e-01 7.8946e-02 4.1927e-07
15.9499 9.9997e-01 7.8946e-02 1.0331e-06
15.9325 9.9996e-01 7.8945e-02 1.8839e-06
15.9152 9.9995e-01 7.8944e-02 3.0215e-06
15.9066 9.9994e-01 7.8943e-02 3.4558e-06
15.8979 9.9993e-01 7.8942e-02 4.5433e-06
15.8806 9.9990e-01 7.8940e-02 6.4870e-06
15.8634 9.9988e-01 7.8938e-02 8.2368e-06
15.8461 9.9985e-01 7.8936e-02 1.0412e-05
15.8289 9.9982e-01 7.8934e-02 1.2850e-05
15.8117 9.9978e-01 7.8931e-02 1.5491e-05
15.7945 9.9975e-01 7.8928e-02 1.8260e-05
15.7773 9.9971e-01 7.8925e-02 2.1153e-05
15.7602 9.9967e-01 7.8923e-02 2.4142e-05
15.7430 9.9963e-01 7.8919e-02 2.7252e-05
15.7259 9.9959e-01 7.8916e-02 3.0460e-05
15.7173 9.9957e-01 7.8915e-02 3.1939e-05
15.7131 9.9956e-01 7.8914e-02 3.2682e-05
15.7088 9.9955e-01 7.8913e-02 3.3589e-05
15.6917 9.9949e-01 7.8908e-02 3.8187e-05
15.6746 9.9945e-01 7.8906e-02 4.0917e-05
15.6576 9.9941e-01 7.8902e-02 4.4304e-05
15.6406 9.9936e-01 7.8899e-02 4.7814e-05
15.6235 9.9932e-01 7.8895e-02 5.1344e-05
15.6150 9.9930e-01 7.8894e-02 5.3032e-05
15.6065 9.9928e-01 7.8892e-02 5.4873e-05
15.5896 9.9922e-01 7.8887e-02 5.9297e-05
15.5726 9.9918e-01 7.8884e-02 6.2306e-05
15.5556 9.9913e-01 7.8881e-02 6.5830e-05
15.5387 9.9909e-01 7.8877e-02 6.9468e-05
15.5303 9.9906e-01 7.8875e-02 7.1177e-05
15.5260 9.9906e-01 7.8874e-02 7.1994e-05
15.5218 9.9904e-01 7.8873e-02 7.2967e-05
15.5049 9.9897e-01 7.8868e-02 7.8094e-05
15.4880 9.9893e-01 7.8865e-02 8.1171e-05
15.4712 9.9889e-01 7.8862e-02 8.4849e-05
15.4543 9.9884e-01 7.8858e-02 8.8719e-05
15.4375 9.9878e-01 7.8854e-02 9.2657e-05
15.4207 9.9873e-01 7.8850e-02 9.6655e-05
15.4039 9.9868e-01 7.8846e-02 1.0068e-04
15.3871 9.9863e-01 7.8841e-02 1.0476e-04
15.3704 9.9857e-01 7.8837e-02 1.0891e-04
15.3536 9.9852e-01 7.8833e-02 1.1311e-04
15.3453 9.9849e-01 7.8831e-02 1.1507e-04
15.3369 9.9847e-01 7.8829e-02 1.1734e-04
15.3202 9.9839e-01 7.8824e-02 1.2262e-04
15.3035 9.9834e-01 7.8820e-02 1.2631e-04
15.2868 9.9829e-01 7.8816e-02 1.3051e-04
15.2702 9.9823e-01 7.8811e-02 1.3488e-04
15.2535 9.9817e-01 7.8807e-02 1.3930e-04
15.2369 9.9811e-01 7.8802e-02 1.4375e-04
15.2203 9.9806e-01 7.8798e-02 1.4821e-04
15.2037 9.9800e-01 7.8793e-02 1.5265e-04
15.1871 9.9794e-01 7.8789e-02 1.5712e-04
15.1706 9.9788e-01 7.8784e-02 1.6161e-04
15.1665 9.9787e-01 7.8783e-02 1.6267e-04
15.1623 9.9786e-01 7.8782e-02 1.6365e-04
15.1541 9.9782e-01 7.8779e-02 1.6652e-04
15.1375 9.9774e-01 7.8773e-02 1.7240e-04
15.1210 9.9769e-01 7.8770e-02 1.7615e-04
15.1045 9.9763e-01 7.8765e-02 1.8053e-04
15.0881 9.9757e-01 7.8761e-02 1.8512e-04
15.0799 9.9754e-01 7.8758e-02 1.8734e-04
15.0716 9.9751e-01 7.8756e-02 1.8976e-04
15.0552 9.9743e-01 7.8750e-02 1.9555e-04
15.0388 9.9738e-01 7.8746e-02 1.9958e-04
15.0224 9.9732e-01 7.8742e-02 2.0410e-04
15.0060 9.9726e-01 7.8737e-02 2.0885e-04
14.9978 9.9723e-01 7.8734e-02 2.1113e-04
14.9937 9.9721e-01 7.8733e-02 2.1221e-04
14.9896 9.9720e-01 7.8732e-02 2.1351e-04
14.9733 9.9710e-01 7.8725e-02 2.2028e-04
14.9569 9.9705e-01 7.8721e-02 2.2441e-04
14.9406 9.9699e-01 7.8716e-02 2.2914e-04
14.9243 9.9692e-01 7.8711e-02 2.3417e-04
14.9162 9.9689e-01 7.8709e-02 2.3659e-04
14.9080 9.9686e-01 7.8706e-02 2.3929e-04
14.8918 9.9677e-01 7.8700e-02 2.4570e-04
14.8755 9.9671e-01 7.8695e-02 2.5011e-04
14.8593 9.9664e-01 7.8690e-02 2.5507e-04
14.8431 9.9657e-01 7.8685e-02 2.6027e-04
14.8269 9.9650e-01 7.8680e-02 2.6555e-04
14.8107 9.9643e-01 7.8674e-02 2.7085e-04
14.7945 9.9636e-01 7.8669e-02 2.7618e-04
14.7784 9.9629e-01 7.8664e-02 2.8146e-04
14.7622 9.9622e-01 7.8659e-02 2.8672e-04
14.7461 9.9615e-01 7.8653e-02 2.9197e-04
14.7300 9.9608e-01 7.8648e-02 2.9723e-04
14.7139 9.9601e-01 7.8643e-02 3.0251e-04
14.6978 9.9594e-01 7.8637e-02 3.0784e-04
14.6818 9.9587e-01 7.8632e-02 3.1322e-04
14.6657 9.9579e-01 7.8626e-02 3.1870e-04
14.6497 9.9572e-01 7.8621e-02 3.2426e-04
14.6337 9.9564e-01 7.8615e-02 3.2990e-04
14.6177 9.9557e-01 7.8609e-02 3.3562e-04
14.6018 9.9549e-01 7.8603e-02 3.4142e-04
14.5858 9.9541e-01 7.8598e-02 3.4729e-04
14.5818 9.9540e-01 7.8596e-02 3.4865e-04
14.5778 9.9538e-01 7.8595e-02 3.4997e-04
14.5699 9.9533e-01 7.8591e-02 3.5382e-04
14.5539 9.9522e-01 7.8583e-02 3.6171e-04
14.5380 9.9515e-01 7.8578e-02 3.6676e-04
14.5222 9.9507e-01 7.8572e-02 3.7255e-04
