method,N,pi_mean,pi_std,pi_abs_error,runtime,time_per_sec,memory_used,sample_per_sec
python,1000.0,3.1,0.0,0.0,0.04324083682149649,4.324083682149649e-05,142.96875,23126.286943245883
python,10000.0,3.1252,0.0,0.0,0.02205024566501379,2.205024566501379e-06,143.421875,453509.68655494775
python,100000.0,3.1274,0.0,0.0,0.07127825170755386,7.127825170755386e-07,143.4296875,1402952.4799554292
python,1000000.0,3.141296,0.0,0.0,0.3260524906218052,3.260524906218052e-07,143.4296875,3066990.8335707826
python,10000000.0,3.1416168,0.0,0.0,3.077915659174323,3.077915659174323e-07,143.43359375,3248951.9230954447
python,100000000.0,3.14144252,0.0,0.0,32.115486363880336,3.2115486363880334e-07,143.453125,3113762.590015391
python,1000000000.0,3.141619444,0.0,0.0,311.7872884022072,3.117872884022072e-07,143.45703125,3207314.8495714003
numpy,1000.0,3.1,0.0,0.0,0.04790081176906824,4.7900811769068244e-05,143.5703125,20876.47292536587
numpy,10000.0,3.1512,0.0,0.0,0.031109841540455818,3.1109841540455817e-06,143.79296875,321441.68870149384
numpy,100000.0,3.14664,0.0,0.0,0.06281715910881758,6.281715910881758e-07,145.546875,1591921.7204135407
numpy,1000000.0,3.142492,0.0,0.0,0.1263794032856822,1.263794032856822e-07,159.07421875,7912681.76618533
numpy,10000000.0,3.1408808,0.0,0.0,0.5942500568926334,5.942500568926334e-08,229.20703125,16827932.75997407
numpy,100000000.0,3.1417742,0.0,0.0,5.768590457737446,5.768590457737446e-08,1652.98828125,17335257.327181093
numpy,1000000000.0,3.141620096,0.0,0.0,58.75936215929687,5.875936215929687e-08,15402.796875,17018564.587018423
numba,1000.0,3.148,0.0,0.0,3.608612757176161,0.003608612757176161,197.79296875,277.11479931211227
numba,10000.0,3.1236,0.0,0.0,0.033148378133773804,3.3148378133773806e-06,197.98828125,301673.88460587536
numba,100000.0,3.14276,0.0,0.0,0.04194887541234493,4.194887541234493e-07,197.9921875,2383854.1323701725
numba,1000000.0,3.141408,0.0,0.0,0.06313019525259733,6.313019525259734e-08,197.9921875,15840280.486996554
numba,10000000.0,3.1415524,0.0,0.0,0.32518661580979824,3.251866158097982e-08,197.9921875,30751573.139310885
numba,100000000.0,3.14171588,0.0,0.0,1.5652860375121236,1.5652860375121236e-08,197.9921875,63886087.017642274
numba,1000000000.0,3.141543916,0.0,0.0,15.591601626947522,1.5591601626947523e-08,197.99609375,64137092.77125605
numba_parallel,1000.0,3.1308,0.03992192380134007,0.029759999999999964,0.09845700338482857,9.845700338482857e-05,209.9265625,10156.717812052484
numba_parallel,10000.0,3.14152,0.018391998260112962,0.017759999999999953,0.04424391174688935,4.424391174688935e-06,209.9453125,226019.79809579265
numba_parallel,100000.0,3.1426240000000005,0.005849422535601303,0.004617600000000266,0.04689455702900887,4.6894557029008867e-07,209.9453125,2132443.6424069474
numba_parallel,1000000.0,3.1419856000000004,0.0015067795591923686,0.0012212799999999024,0.07592922234907747,7.592922234907746e-08,209.9453125,13170159.907638643
numba_parallel,10000000.0,3.1418448,0.000566499567519662,0.00046831999999996654,0.14805769538506866,1.4805769538506865e-08,209.9453125,67541237.71812053
numba_parallel,100000000.0,3.1415786760000004,0.00014117983929722464,0.00012074799999997054,0.6600773859769106,6.600773859769105e-09,209.9453125,151497388.22214097
numba_parallel,1000000000.0,3.1416010711999998,6.788862304217059e-05,5.693760000000658e-05,6.512367647979408,6.512367647979408e-09,209.9453125,153553984.3654665
